name,status,e,md,mf,mln,msl,mss,tdp,computer,train time,predict time,diff mean,abs diff mean,diff var,abs diff var,median,mode,training time (hours),r^2
rfm_e100_md60_mfLOG2_mln5000_msl1_mss5_tdp50.yml,complete,100.0,60.0,LOG2,5000.0,1.0,5.0,50.0,finwhale,0:23:40.865853,0:00:41.717319,-0.0017564681598808733,3.1430714053905526,18.144802808846126,8.265908034642809,0.13257281631339213,,,0.9063726609807232
rfm_e100_md100_mfLOG2_mln5000_msl4_mss10_tdp25.yml,complete,100.0,100.0,LOG2,5000.0,4.0,10.0,25.0,bristlecone,0:11:35.104472,0:00:44.785501,-0.0011394521363625506,3.1290611914133977,17.93247595072655,8.14145330946827,0.12490059293035086,,,0.9074682784340178
rfm_e100_md25_mfLOG2_mln5000_msl1_mss2_tdp75.yml,complete,100.0,25.0,LOG2,5000.0,1.0,2.0,75.0,bristlecone,0:41:13.180974,0:00:43.900969,-0.0007540914839478957,3.1311799595120884,17.985737791196698,8.181450421000495,0.123249589210078,,,0.9071934506897033
rfm_e50_md60_mfSQRT_mln5000_msl2_mss10_tdp75.yml,complete,50.0,60.0,SQRT,5000.0,2.0,10.0,75.0,finwhale,0:18:40.633165,0:00:21.434783,-0.0010990143306040586,3.1571414307185712,18.319632798787246,8.35209199306005,0.12734064674092274,,,0.9054705465649806
rfm_e100_md25_mfLOG2_mln5000_msl8_mss5_tdp25.yml,complete,100.0,25.0,LOG2,5000.0,8.0,5.0,25.0,ocotal,0:12:49.606992,0:00:55.707239,-0.0035896673186004147,3.1351698654411466,18.052561248403574,8.223284048944679,0.1264568120134113,,,0.9068485775765812
rfm_e50_md100_mfSQRT_mln5000_msl2_mss5_tdp25.yml,complete,50.0,100.0,SQRT,5000.0,2.0,5.0,25.0,finwhale,0:05:28.437253,0:00:21.228905,-0.0010999108867740801,3.1590129497157644,18.27996350918288,8.300601902514966,0.12949004595623734,,,0.9056752403965675
rfm_e50_md60_mfLOG2_mln5000_msl1_mss5_tdp50.yml,complete,50.0,60.0,LOG2,5000.0,1.0,5.0,50.0,finwhale,0:11:56.686689,0:00:21.323057,-0.001934410386015452,3.155228103012788,18.28415300613489,8.328692366036796,0.1310484065154992,,,0.9056536094939706
rfm_e50_md25_mfLOG2_mln5000_msl1_mss5_tdp25.yml,complete,50.0,25.0,LOG2,5000.0,1.0,5.0,25.0,ocotal,0:06:45.723070,0:00:30.122697,-0.003214131479983393,3.1425103003418253,18.102803047636662,8.227442390523377,0.12984501135265392,,,0.906589342687392
rfm_e50_md25_mfSQRT_mln5000_msl8_mss2_tdp25.yml,complete,50.0,25.0,SQRT,5000.0,8.0,2.0,25.0,bristlecone,0:05:45.823848,0:00:22.830330,-0.0012340737439493381,3.1506242743483286,18.16259464732106,8.236162852146053,0.11976681321254645,,,0.9062808630175052
rfm_e10_md25_mfLOG2_mln5000_msl2_mss10_tdp25.yml,complete,10.0,25.0,LOG2,5000.0,2.0,10.0,25.0,ocotal,0:01:24.100012,0:00:07.484039,-0.003555746782694783,3.264066266034115,19.575412201549906,8.92129625582321,0.14586824438897628,,,0.8989906561082698
rfm_e10_md25_mfSQRT_mln5000_msl1_mss5_tdp75.yml,complete,10.0,25.0,SQRT,5000.0,1.0,5.0,75.0,finwhale,0:04:27.384674,0:00:05.589115,-0.0015300678868425154,3.2452066794894354,19.419264595925828,8.88790054443066,0.13713242741317688,,,0.8997964321228689
rfm_e10_md100_mfLOG2_mln5000_msl4_mss2_tdp75.yml,complete,10.0,100.0,LOG2,5000.0,4.0,2.0,75.0,ocotal,0:05:00.380566,0:00:07.228565,-0.000584008046814079,3.2340435711351407,19.31310117326072,8.854063694325559,0.1457346387307603,,,0.9003442465267262
rfm_e10_md100_mfSQRT_mln5000_msl8_mss10_tdp25.yml,complete,10.0,100.0,SQRT,5000.0,8.0,10.0,25.0,bristlecone,0:01:10.008776,0:00:05.167596,-0.001289757425143742,3.233959845727255,19.308485276861933,8.849990656559957,0.1381410137668322,,,0.9003680577642734
rfm_e10_md60_mfSQRT_mln5000_msl8_mss5_tdp25.yml,complete,10.0,60.0,SQRT,5000.0,8.0,5.0,25.0,bristlecone,0:01:10.308509,0:00:05.065993,-0.0012897574251436307,3.233959845727255,19.308485276861933,8.849990656559957,0.1381410137668322,,,0.9003680577642734
rfm_e10_md60_mfLOG2_mln5000_msl4_mss2_tdp50.yml,complete,10.0,60.0,LOG2,5000.0,4.0,2.0,50.0,finwhale,0:02:52.430560,0:00:05.482072,-0.0025285842820298287,3.258607144287715,19.55298248139517,8.934468354330773,0.1560226476715324,,,0.8991064258860458
rfm_e100_md12_mfAUTO_mln50000_msl8_mss2_tdp25.yml,complete,100.0,12.0,AUTO,50000.0,8.0,2.0,25.0,ocotal,0:35:57.057683,0:00:48.430156,-0.0023483439324970892,3.7673373193078152,27.41941096836627,13.226586005636122,0.13194544850258616,,,0.8585155984712003
rfm_e50_md12_mfAUTO_mln10000_msl8_mss5_tdp50.yml,complete,50.0,12.0,AUTO,10000.0,8.0,5.0,50.0,bristlecone,0:34:21.738223,0:00:16.665676,-0.0014088698915225453,4.16554693405844,32.53383811815831,15.182058843229113,0.15487551634907692,,,0.8321251329598343
