,name,training data,sp+1,sp,ewp,lsp,fdd,fwp,long,tdd+1,tdd,lat,slope,elev,aspect,labels,random
ACP-training-base_rfm_e50_md100_mfLOG2_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,12.138,11.479,12.034,10.243,9.896,10.239,8.429,9.137,8.779,6.892,0.662,0.066,0.005,,
ACP-training-base_rfm_e50_md70_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,13.351,12.71,11.829,9.911,9.55,9.667,9.11,8.233,8.354,7.257,0.025,0.001,0.0,,
ACP-training-base_rfm_e50_md90_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,13.245,12.782,11.753,9.856,9.593,9.656,9.116,8.09,8.557,7.328,0.022,0.001,0.0,,
ACP-training-base_rfm_e50_md19_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,13.455,13.104,12.718,9.063,9.384,9.849,8.42,8.174,8.624,7.195,0.014,0.001,0.0,,
ACP-training-base_rfm_e50_md3_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,17.191,13.421,31.117,1.28,13.035,0.462,0.0,11.48,3.459,8.556,0.0,0.0,0.0,,
ACP-training-base_rfm_e50_md50_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,13.293,12.815,11.687,9.929,9.559,9.663,9.135,8.183,8.426,7.282,0.026,0.001,0.0,,
ACP-training-base_rfm_e50_md5_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-md5,base,12.353,17.042,24.428,2.965,10.111,10.482,0.364,10.486,5.806,5.965,0.0,0.0,0.0,,
ACP-training-base_rfm_e50_md6_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,12.634,16.278,22.444,4.136,9.35,9.764,0.75,10.437,7.28,6.928,0.0,0.0,0.0,,
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl12_mss5_tdp75,baseline-ACP-training-base,base,13.304,12.645,11.804,9.821,9.716,9.701,9.192,8.07,8.537,7.186,0.022,0.001,0.0,,
ACP-training-base_rfm_e50_md40_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,13.177,12.91,11.705,9.928,9.678,9.485,9.161,8.277,8.301,7.355,0.021,0.001,0.0,,
