,name,training data,lsp,sp+1,fdd,ewp,fwp,tdd,sp,tdd+1,lat,long,slope,aspect,elev,random,labels
SP-rf-training-set_rfm_e50_md10_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-md10,base,13.342,12.529,11.217,11.899,10.12,14.025,8.659,8.663,5.788,3.756,0.001,0.0,0.0,,
SP-rf-training-set_rfm_e50_md100_mfAUTO_mln62500_msl8_mss5_tdp75,baseline-mln62500,base,14.756,13.165,11.208,11.755,11.05,10.579,9.376,7.888,5.17,5.025,0.02,0.003,0.004,,
SP-rf-training-set_rfm_e50_md1_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-md1,base,0.0,0.0,29.936,0.0,0.0,70.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
SP-rf-training-set_rfm_e100_md100_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-e100,base,14.686,13.215,11.448,11.398,11.285,10.487,9.055,8.121,5.221,5.055,0.022,0.003,0.004,,
SP-rf-training-set_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_ms0,baseline-ms0,base,14.701,12.991,11.272,11.692,11.32,10.584,9.183,8.006,5.294,4.932,0.019,0.003,0.004,,
SP-rf-training-set_rfm_e50_md2_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-md2,base,5.478,0.0,23.416,0.0,0.0,54.203,0.0,8.593,8.31,0.0,0.0,0.0,0.0,,
SP-rf-training-set_rfm_e50_md13_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-md13,base,14.169,13.132,11.531,11.658,10.418,12.101,9.196,8.021,5.492,4.279,0.003,0.0,0.001,,
SP-rf-training-set_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_ms0.25_tdp75,baseline-ms0.25,base,14.881,13.377,11.463,11.535,10.822,10.383,9.298,8.036,5.182,4.993,0.025,0.003,0.004,,
SP-rf-training-set_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp50,baseline-tdp50,base,14.349,13.15,11.504,11.778,11.048,10.711,9.021,8.168,5.142,5.095,0.026,0.003,0.005,,
SP-rf-training-set_rfm_e50_md100_mfAUTO_mln50000_msl8_mss15_tdp75,baseline-mss15,base,14.558,12.98,11.577,11.612,11.143,10.622,8.972,8.162,5.231,5.116,0.021,0.003,0.004,,
SP-rf-training-set_rfm_e50_md40_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-md40,base,14.802,13.208,11.237,11.769,11.073,10.379,9.044,8.259,5.234,4.967,0.022,0.003,0.004,,
SP-rf-training-set_rfm_e50_md100_mfAUTO_mln50000_msl4_mss5_tdp75,baseline-msl4,base,14.692,13.114,11.498,11.787,11.143,10.496,9.01,7.995,5.183,5.046,0.026,0.004,0.006,,
SP-rf-training-set_rfm_e50_md100_mfAUTO_mln50000_msl8_mss7_tdp75,baseline-mss7,base,14.796,13.327,11.153,11.727,11.024,10.714,9.207,7.924,4.996,5.107,0.019,0.003,0.004,,
SP-rf-training-set_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_ms0.5_tdp75,baseline-ms0.5,base,14.602,12.992,11.629,11.705,11.075,10.451,9.056,8.24,5.13,5.087,0.025,0.003,0.003,,
SP-rf-training-set_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp25,baseline-tdp25,base,14.571,13.348,11.309,11.503,11.031,10.575,9.291,8.148,5.137,5.031,0.039,0.007,0.01,,
SP-rf-training-set_rfm_e50_md100_mfAUTO_mln50000_msl1_mss5_tdp75,baseline-msl1,base,14.587,13.319,11.162,11.851,11.055,10.544,9.34,7.781,5.186,5.138,0.024,0.005,0.007,,
SP-rf-training-set_rfm_e50_md50_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-md50,base,14.861,13.085,11.504,11.882,11.131,10.537,9.024,7.801,5.117,5.025,0.027,0.003,0.004,,
SP-rf-training-set_rfm_e12_md100_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-e12,base,14.647,13.474,11.402,11.288,11.207,10.354,9.311,8.046,5.163,5.083,0.021,0.003,0.003,,
SP-rf-training-set_rfm_e50_md100_mf12_mln50000_msl8_mss5_tdp75,baseline-mf12,base,14.465,13.029,11.323,11.76,11.118,10.567,9.47,7.966,5.267,4.996,0.031,0.003,0.004,,
SP-rf-training-set_rfm_e50_md100_mf4_mln50000_msl8_mss5_tdp75,baseline-mf4,base,13.397,12.089,11.388,11.191,11.015,10.874,10.191,8.379,6.029,5.129,0.261,0.019,0.037,,
SP-rf-training-set_rfm_e50_md19_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-md19,base,14.604,13.265,11.282,11.51,10.921,10.86,9.342,8.111,5.172,4.914,0.016,0.001,0.002,,
SP-rf-training-set_rfm_e50_md90_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-md90,base,14.677,13.228,11.227,12.128,11.095,10.578,9.004,7.887,5.109,5.038,0.021,0.003,0.004,,
SP-rf-training-set_rfm_e50_md70_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-md70,base,14.714,13.071,11.516,11.79,11.179,10.427,9.063,7.908,5.185,5.12,0.02,0.003,0.004,,
no-max-no-geo_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp75,baseline,no-max-no-geo,22.98,,18.68,,19.787,19.746,,16.768,,,1.664,0.116,0.26,,
with-labels_rfm_e4_md2_mfAUTO_tdp05,baseline-e4,with-labels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0
SP-rf-training-set_rfm_e50_md8_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-md8,base,13.209,12.471,11.994,10.112,10.744,15.407,6.807,8.508,7.109,3.639,0.0,0.0,0.0,,
SP-rf-training-set_rfm_e25_md100_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-e25,base,14.494,12.945,11.479,11.696,11.153,10.619,9.057,8.164,5.227,5.138,0.022,0.003,0.003,,
SP-rf-training-set_rfm_e50_md100_mf1_mln50000_msl8_mss5_tdp75,baseline-mf1,base,11.513,11.162,11.128,10.548,10.294,12.0,9.794,9.955,6.052,4.745,1.287,0.714,0.81,,
SP-rf-training-set_rfm_e50_md80_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-md80,base,14.365,12.926,11.616,11.96,11.127,10.634,9.146,7.894,5.229,5.074,0.022,0.003,0.004,,
SP-rf-training-set_rfm_e50_md60_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-md60,base,14.518,13.389,11.403,11.769,11.117,10.437,9.157,7.831,5.179,5.166,0.027,0.003,0.004,,
with-labels_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp75,baseline,with-labels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0
