,features,mean_abs_error,mean_error,median_abs_error,median_error,predict_time,r2,train_time,var_abs_error,var_error,hp_changed
ACP-training-base_rfm_e50_md100_mfAUTO_mln12500_msl8_mss5_tdp75.joblib,ACP-training-base.yml,2.733415187,-0.003766369,1.798623947,0.074392546,00:22.2,0.914464904,15:12.1,8.897762744,16.36930714,mln
ACP-training-base_rfm_e50_md100_mfAUTO_mln25000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.904283765,-0.004753004,1.235926471,0.040114535,00:24.3,0.957653111,18:34.0,4.477860234,8.104134301,mln
ACP-training-base_rfm_e50_md100_mfAUTO_mln37500_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.554974016,-0.003794478,1.015615281,0.025031901,00:25.8,0.971416203,20:47.1,3.05229405,5.470223843,mln
ACP-training-base_rfm_e50_md100_mfAUTO_mln62500_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.181718984,-0.003956072,0.769570868,0.015084577,00:26.9,0.982645507,22:18.8,1.924765012,3.321209119,mln
ACP-training-base_rfm_e50_md100_mfAUTO_mln75000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.04962757,-0.003246571,0.686601828,0.012889305,00:27.5,0.986206027,23:53.0,1.538110322,2.639817817,mln
ACP-training-base_rfm_e50_md100_mfAUTO_mln100000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,0.863114074,-0.002847408,0.566222135,0.010644647,00:28.8,0.990382411,24:43.7,1.095604954,1.84056275,mln
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.316311151,-0.003882075,0.853403162,0.018855443,00:26.6,0.97898118,21:07.4,2.289812052,4.022472028,mf
ACP-training-base_rfm_e50_md100_mfSQRT_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.880486288,-0.005986999,1.179913996,0.046756428,00:26.6,0.958781347,22:21.6,4.352011378,7.888204214,mf
ACP-training-base_rfm_e50_md100_mfLOG2_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.884875952,-0.007084546,1.182807373,0.046934701,00:26.3,0.958551718,22:18.0,4.379428165,7.932135326,mf
ACP-training-base_rfm_e50_md100_mf1_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,5.35397339,-0.009399477,4.081202273,0.613015636,00:28.1,0.731825152,09:43.6,22.65706313,51.32200584,mf
ACP-training-base_rfm_e50_md100_mf3_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.880607972,-0.007084898,1.180736457,0.048067309,00:26.6,0.95874609,22:16.3,4.35830115,7.8949373,mf
ACP-training-base_rfm_e50_md100_mf4_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.615127282,-0.005381152,1.009606036,0.034513387,00:26.3,0.96911001,27:59.5,3.302950877,5.911558056,mf
ACP-training-base_rfm_e50_md100_mf5_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.477020576,-0.005715759,0.926180606,0.027913377,00:26.1,0.97401457,33:44.4,2.79138477,4.972941882,mf
ACP-training-base_rfm_e50_md100_mf6_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.399546594,-0.004450079,0.881550088,0.025321076,00:26.2,0.976622067,39:37.6,2.515232726,4.47394359,mf
ACP-training-base_rfm_e50_md100_mf8_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.291126307,-0.004525165,0.817606903,0.021722238,00:26.2,0.980017653,51:11.1,2.157124423,3.824111088,mf
ACP-training-base_rfm_e50_md100_mf10_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.237360849,-0.003781305,0.790136557,0.019926397,00:26.9,0.981659318,03:15.0,1.978895304,3.509942876,mf
ACP-training-base_rfm_e50_md100_mf12_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.229988051,-0.003563189,0.790430765,0.018833311,00:26.4,0.981853036,14:57.1,1.960013692,3.472871601,mf
ACP-training-base_rfm_e1_md100_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.747656107,-0.003672529,1.034328891,0.018612201,00:03.7,0.952799662,09:16.0,5.978686217,9.032974596,e
ACP-training-base_rfm_e4_md100_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.418658255,-0.002995911,0.886733898,0.017935642,00:03.9,0.974157028,11:20.3,2.933120313,4.945702583,e
ACP-training-base_rfm_e12_md100_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.353087395,-0.003769834,0.871886982,0.020010174,00:06.0,0.977446959,18:17.0,2.485253796,4.316085084,e
ACP-training-base_rfm_e25_md100_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.347143225,-0.004652367,0.873761746,0.017951083,00:14.9,0.977868489,45:16.3,2.420633974,4.235407199,e
ACP-training-base_rfm_e60_md100_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.322015107,-0.004026743,0.860306757,0.019054544,00:28.6,0.978888401,30:19.4,2.292518782,4.04022651,e
ACP-training-base_rfm_e75_md100_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.321105964,-0.003861695,0.861397384,0.018190154,00:37.7,0.979036397,58:41.1,2.26659899,4.011905044,e
ACP-training-base_rfm_e100_md100_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.354672497,-0.004769099,0.880051504,0.017258409,00:49.3,0.977586609,34:34.8,2.454236204,4.289351034,e
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp25.joblib,ACP-training-base.yml,1.337104215,-0.005856293,0.833119683,0.022677727,00:26.5,0.976142061,23:16.1,2.7779772,4.565790585,tdp
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp50.joblib,ACP-training-base.yml,1.326998565,-0.004410561,0.855770588,0.019770919,00:26.4,0.978149641,51:08.7,2.420698144,4.181603882,tdp
BASELINE_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp75.yml,ACP-training-base.yml,1.286563617,-0.004368479,0.833219183,0.018465225,,0.980100939,169.4,2.152946614,3.808173472,base
